64gpu:
[2026-07-07 22:35:30] iteration       10/     220 | consumed samples:         5120 | elapsed time per iteration (ms): 39515.6 | learning rate: 8.000000E-05 | global batch size:   512 | lm loss: 2.544449E+01 | loss scale: 1.0 | grad norm: 20.633 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 22:41:30] iteration       20/     220 | consumed samples:        10240 | elapsed time per iteration (ms): 35956.0 | learning rate: 1.600000E-04 | global batch size:   512 | lm loss: 1.414922E+01 | loss scale: 1.0 | grad norm: 78.275 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 22:47:46] iteration       30/     220 | consumed samples:        15360 | elapsed time per iteration (ms): 37590.0 | learning rate: 2.400000E-04 | global batch size:   512 | lm loss: 9.739690E+00 | loss scale: 1.0 | grad norm: 11.347 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 22:53:42] iteration       40/     220 | consumed samples:        20480 | elapsed time per iteration (ms): 35621.1 | learning rate: 3.200000E-04 | global batch size:   512 | lm loss: 8.417932E+00 | loss scale: 1.0 | grad norm: 9.664 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 22:58:57] iteration       50/     220 | consumed samples:        25600 | elapsed time per iteration (ms): 31482.8 | learning rate: 4.000000E-04 | global batch size:   512 | lm loss: 9.380140E+00 | loss scale: 1.0 | grad norm: 4.927 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 23:03:43] iteration       60/     220 | consumed samples:        30720 | elapsed time per iteration (ms): 28671.6 | learning rate: 4.000000E-04 | global batch size:   512 | lm loss: 9.232038E+00 | loss scale: 1.0 | grad norm: 5.762 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 23:08:55] iteration       70/     220 | consumed samples:        35840 | elapsed time per iteration (ms): 31161.2 | learning rate: 4.000000E-04 | global batch size:   512 | lm loss: 1.289647E+01 | loss scale: 1.0 | grad norm: 5.503 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 23:13:41] iteration       80/     220 | consumed samples:        40960 | elapsed time per iteration (ms): 28578.0 | learning rate: 3.999999E-04 | global batch size:   512 | lm loss: 9.424760E+00 | loss scale: 1.0 | grad norm: 3.925 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 23:18:58] iteration       90/     220 | consumed samples:        46080 | elapsed time per iteration (ms): 31677.0 | learning rate: 3.999998E-04 | global batch size:   512 | lm loss: 9.326542E+00 | loss scale: 1.0 | grad norm: 2.657 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 23:23:44] iteration      100/     220 | consumed samples:        51200 | elapsed time per iteration (ms): 28603.4 | learning rate: 3.999998E-04 | global batch size:   512 | lm loss: 8.202248E+00 | loss scale: 1.0 | grad norm: 1.805 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 23:28:53] iteration      110/     220 | consumed samples:        56320 | elapsed time per iteration (ms): 30911.7 | learning rate: 3.999997E-04 | global batch size:   512 | lm loss: 9.741718E+00 | loss scale: 1.0 | grad norm: 2.605 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 23:33:38] iteration      120/     220 | consumed samples:        61440 | elapsed time per iteration (ms): 28482.7 | learning rate: 3.999996E-04 | global batch size:   512 | lm loss: 8.213307E+00 | loss scale: 1.0 | grad norm: 1.499 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 23:38:50] iteration      130/     220 | consumed samples:        66560 | elapsed time per iteration (ms): 31228.3 | learning rate: 3.999994E-04 | global batch size:   512 | lm loss: 9.412764E+00 | loss scale: 1.0 | grad norm: 2.690 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 23:43:35] iteration      140/     220 | consumed samples:        71680 | elapsed time per iteration (ms): 28522.6 | learning rate: 3.999993E-04 | global batch size:   512 | lm loss: 7.921725E+00 | loss scale: 1.0 | grad norm: 0.925 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 23:48:45] iteration      150/     220 | consumed samples:        76800 | elapsed time per iteration (ms): 30945.4 | learning rate: 3.999991E-04 | global batch size:   512 | lm loss: 8.961558E+00 | loss scale: 1.0 | grad norm: 2.328 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 23:53:29] iteration      160/     220 | consumed samples:        81920 | elapsed time per iteration (ms): 28464.1 | learning rate: 3.999989E-04 | global batch size:   512 | lm loss: 7.845641E+00 | loss scale: 1.0 | grad norm: 0.822 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-07 23:58:38] iteration      170/     220 | consumed samples:        87040 | elapsed time per iteration (ms): 30910.2 | learning rate: 3.999987E-04 | global batch size:   512 | lm loss: 8.492879E+00 | loss scale: 1.0 | grad norm: 1.376 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-08 00:03:24] iteration      180/     220 | consumed samples:        92160 | elapsed time per iteration (ms): 28554.4 | learning rate: 3.999985E-04 | global batch size:   512 | lm loss: 7.659365E+00 | loss scale: 1.0 | grad norm: 0.813 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-08 00:08:35] iteration      190/     220 | consumed samples:        97280 | elapsed time per iteration (ms): 31135.7 | learning rate: 3.999982E-04 | global batch size:   512 | lm loss: 9.181795E+00 | loss scale: 1.0 | grad norm: 1.422 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-08 00:13:20] iteration      200/     220 | consumed samples:       102400 | elapsed time per iteration (ms): 28464.7 | learning rate: 3.999980E-04 | global batch size:   512 | lm loss: 7.552384E+00 | loss scale: 1.0 | grad norm: 0.609 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-08 00:18:31] iteration      210/     220 | consumed samples:       107520 | elapsed time per iteration (ms): 31080.3 | learning rate: 3.999977E-04 | global batch size:   512 | lm loss: 8.053523E+00 | loss scale: 1.0 | grad norm: 0.788 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-08 00:23:14] iteration      220/     220 | consumed samples:       112640 | elapsed time per iteration (ms): 28356.8 | learning rate: 3.999974E-04 | global batch size:   512 | lm loss: 7.391457E+00 | loss scale: 1.0 | grad norm: 0.466 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
128gpu:
[2026-07-10 00:27:21] iteration       10/     220 | consumed samples:         5120 | elapsed time per iteration (ms): 28741.9 | learning rate: 8.000000E-05 | global batch size:   512 | lm loss: 2.474447E+01 | loss scale: 1.0 | grad norm: 23.195 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:31:35] iteration       20/     220 | consumed samples:        10240 | elapsed time per iteration (ms): 25385.8 | learning rate: 1.600000E-04 | global batch size:   512 | lm loss: 1.370128E+01 | loss scale: 1.0 | grad norm: 62.115 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:36:10] iteration       30/     220 | consumed samples:        15360 | elapsed time per iteration (ms): 27496.8 | learning rate: 2.400000E-04 | global batch size:   512 | lm loss: 9.666187E+00 | loss scale: 1.0 | grad norm: 28.928 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:40:22] iteration       40/     220 | consumed samples:        20480 | elapsed time per iteration (ms): 25189.9 | learning rate: 3.200000E-04 | global batch size:   512 | lm loss: 8.338055E+00 | loss scale: 1.0 | grad norm: 12.880 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:43:27] iteration       50/     220 | consumed samples:        25600 | elapsed time per iteration (ms): 18502.4 | learning rate: 4.000000E-04 | global batch size:   512 | lm loss: 9.803550E+00 | loss scale: 1.0 | grad norm: 8.245 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:45:56] iteration       60/     220 | consumed samples:        30720 | elapsed time per iteration (ms): 14893.9 | learning rate: 4.000000E-04 | global batch size:   512 | lm loss: 9.656133E+00 | loss scale: 1.0 | grad norm: 6.559 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-10 00:48:57] iteration       70/     220 | consumed samples:        35840 | elapsed time per iteration (ms): 18109.7 | learning rate: 4.000000E-04 | global batch size:   512 | lm loss: 1.327935E+01 | loss scale: 1.0 | grad norm: 2.491 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
