[2026-07-11 04:11:09] iteration       10/     220 | consumed samples:         5120 | elapsed time per iteration (ms): 23733.5 | learning rate: 8.000000E-05 | global batch size:   512 | lm loss: 2.578266E+01 | loss scale: 1.0 | grad norm: 16.622 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-11 04:14:30] iteration       20/     220 | consumed samples:        10240 | elapsed time per iteration (ms): 20159.3 | learning rate: 1.600000E-04 | global batch size:   512 | lm loss: 1.360677E+01 | loss scale: 1.0 | grad norm: 78.275 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-11 04:18:10] iteration       30/     220 | consumed samples:        15360 | elapsed time per iteration (ms): 21932.2 | learning rate: 2.400000E-04 | global batch size:   512 | lm loss: 9.646469E+00 | loss scale: 1.0 | grad norm: 24.902 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-11 04:21:33] iteration       40/     220 | consumed samples:        20480 | elapsed time per iteration (ms): 20347.8 | learning rate: 3.200000E-04 | global batch size:   512 | lm loss: 8.487591E+00 | loss scale: 1.0 | grad norm: 10.221 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-11 04:23:26] iteration       50/     220 | consumed samples:        25600 | elapsed time per iteration (ms): 11267.2 | learning rate: 4.000000E-04 | global batch size:   512 | lm loss: 9.277360E+00 | loss scale: 1.0 | grad norm: 1.317 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-11 04:24:46] iteration       60/     220 | consumed samples:        30720 | elapsed time per iteration (ms): 7974.4 | learning rate: 4.000000E-04 | global batch size:   512 | lm loss: 9.008339E+00 | loss scale: 1.0 | grad norm: 0.863 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-11 04:26:33] iteration       70/     220 | consumed samples:        35840 | elapsed time per iteration (ms): 10765.5 | learning rate: 4.000000E-04 | global batch size:   512 | lm loss: 1.088765E+01 | loss scale: 1.0 | grad norm: 0.689 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-11 04:27:52] iteration       80/     220 | consumed samples:        40960 | elapsed time per iteration (ms): 7893.6 | learning rate: 3.999999E-04 | global batch size:   512 | lm loss: 8.886690E+00 | loss scale: 1.0 | grad norm: 0.650 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-11 04:29:38] iteration       90/     220 | consumed samples:        46080 | elapsed time per iteration (ms): 10592.3 | learning rate: 3.999998E-04 | global batch size:   512 | lm loss: 9.065656E+00 | loss scale: 1.0 | grad norm: 0.622 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-11 04:30:57] iteration      100/     220 | consumed samples:        51200 | elapsed time per iteration (ms): 7871.8 | learning rate: 3.999998E-04 | global batch size:   512 | lm loss: 8.307604E+00 | loss scale: 1.0 | grad norm: 0.511 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-11 04:32:42] iteration      110/     220 | consumed samples:        56320 | elapsed time per iteration (ms): 10524.5 | learning rate: 3.999997E-04 | global batch size:   512 | lm loss: 8.445406E+00 | loss scale: 1.0 | grad norm: 0.334 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-11 04:34:01] iteration      120/     220 | consumed samples:        61440 | elapsed time per iteration (ms): 7932.8 | learning rate: 3.999996E-04 | global batch size:   512 | lm loss: 7.990169E+00 | loss scale: 1.0 | grad norm: 0.215 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-11 04:35:48] iteration      130/     220 | consumed samples:        66560 | elapsed time per iteration (ms): 10671.3 | learning rate: 3.999994E-04 | global batch size:   512 | lm loss: 7.967056E+00 | loss scale: 1.0 | grad norm: 0.323 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-11 04:37:07] iteration      140/     220 | consumed samples:        71680 | elapsed time per iteration (ms): 7894.5 | learning rate: 3.999993E-04 | global batch size:   512 | lm loss: 7.802505E+00 | loss scale: 1.0 | grad norm: 0.163 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
[2026-07-11 04:38:54] iteration      150/     220 | consumed samples:        76800 | elapsed time per iteration (ms): 10642.1 | learning rate: 3.999991E-04 | global batch size:   512 | lm loss: 8.142101E+00 | loss scale: 1.0 | grad norm: 0.364 | num zeros: 0 | number of skipped iterations:   0 | number of nan iterations:   0 |
